id,observed_on,time_observed_at,quality_grade,image_url,sound_url,latitude,longitude,place_state_name,place_country_name,scientific_name,common_name,taxon_id,taxon_family_name
229904819,2024-06-29,2024-06-29 08:50:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/408152231/medium.jpeg,,50.1651458768,14.3490698871,Stredoceský,Czechia,Turdus philomelos,Song Thrush,12748,Turdidae
48624579,2020-04-10,2020-04-10 07:31:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/77163593/medium.jpeg,,53.3579797385,-2.0827988781,England,United Kingdom,Turdus philomelos,Song Thrush,12748,Turdidae
212555090,2024-05-01,2024-05-01 03:10:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/375616444/medium.jpg,,56.597770276,84.8100481172,Tomsk,Russia,Turdus philomelos,Song Thrush,12748,Turdidae
286268607,2025-06-01,2025-06-01 11:46:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/514619013/medium.jpg,,51.7078319367,36.2478707536,Kursk,Russia,Turdus philomelos,Song Thrush,12748,Turdidae
215529987,2024-05-13,2024-05-13 09:04:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/381057850/medium.jpeg,,50.92647661,14.04974376,Sachsen,Germany,Turdus philomelos,Song Thrush,12748,Turdidae
269168549,2025-04-07,2025-04-07 13:10:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/483926987/medium.jpeg,,49.6718827005,9.0250366661,Hessen,Germany,Turdus philomelos,Song Thrush,12748,Turdidae
148979827,2022-12-25,2022-12-24 18:01:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/256647442/medium.jpg,,-42.7224102109,170.9682732411,West Coast,New Zealand,Turdus philomelos clarkei,Western European Song Thrush,702675,Turdidae
157028751,2023-04-28,2023-04-28 07:10:16 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/271649743/medium.jpg,https://static.inaturalist.org/sounds/659101.mp3?1682666008,48.10748,14.9194933333,Niederösterreich,Austria,Turdus philomelos,Song Thrush,12748,Turdidae
102595568,2021-07-31,2021-07-31 03:53:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/171538566/medium.jpg,,46.6765472577,40.4175686884,Rostov,Russia,Turdus philomelos,Song Thrush,12748,Turdidae
16974753,2007-06-05,2007-06-06 00:40:00 UTC,research,https://static.inaturalist.org/photos/25661455/medium.jpg,,42.1725372809,-8.512407463,Galicia,Spain,Turdus philomelos,Song Thrush,12748,Turdidae
326848634,2025-11-07,2025-11-07 01:11:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/592035359/medium.jpg,,55.0562594379,-4.1216146935,Scotland,United Kingdom,Turdus philomelos,Song Thrush,12748,Turdidae
126057608,2022-07-11,2022-07-11 18:42:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/213842826/medium.jpeg,,51.119423931,-1.3405851809,England,United Kingdom,Turdus philomelos,Song Thrush,12748,Turdidae
89070520,2021-07-19,2021-07-19 13:47:13 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/147044499/medium.jpeg,,57.5181908318,10.3967309743,North Jutland,Denmark,Turdus philomelos,Song Thrush,12748,Turdidae
80492088,2021-05-24,2021-05-24 15:06:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/131931605/medium.jpg,,41.1682685904,-8.605407728,Porto,Portugal,Turdus philomelos,Song Thrush,12748,Turdidae
148712245,2023-02-02,2023-02-02 12:46:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/256143312/medium.jpeg,,51.219352,-1.5039801,England,United Kingdom,Turdus philomelos,Song Thrush,12748,Turdidae
109171014,2022-03-21,2022-03-21 16:49:15 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/183949160/medium.jpeg,,49.4901903171,11.0828826204,Bayern,Germany,Turdus philomelos,Song Thrush,12748,Turdidae
300894381,2015-04-23,2015-04-23 11:42:00 UTC,research,https://static.inaturalist.org/photos/542176729/medium.jpg,,43.0503699991,9.8425041849,Toscana,Italy,Turdus philomelos,Song Thrush,12748,Turdidae
