id,observed_on,time_observed_at,quality_grade,image_url,sound_url,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name,taxon_id,taxon_family_name
115603187,2022-05-05,2022-05-05 20:19:17 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/195105047/medium.jpeg,,52.3713378889,4.8159852222,Amsterdam,Noord-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
115704136,2022-05-06,2022-05-06 11:16:17 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/195282552/medium.jpeg,,52.6758804321,5.6709356308,Noordoostpolder,Flevoland,Turdus merula,Eurasian Blackbird,12716,Turdidae
115717102,2022-05-06,2022-05-06 11:15:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/195305351/medium.jpeg,,51.9646733333,4.4681016667,Rotterdam,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
115735738,2022-05-06,2022-05-06 16:26:56 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/195336080/medium.jpeg,,51.9770278098,5.659275949,Wageningen,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
115782163,2022-05-06,2022-05-06 15:53:38 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/196971328/medium.jpeg,,50.9596959396,5.7356470265,Maastricht,Limburg,Turdus merula,Eurasian Blackbird,12716,Turdidae
116063858,2022-04-30,2022-04-30 15:10:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/195888967/medium.jpeg,,52.0221900832,4.3959773041,Pijnacker-Nootdorp,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
116547288,2022-02-16,2022-02-16 16:11:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/196744180/medium.jpeg,,51.65403483,5.05240134,Loon op Zand,Noord-Brabant,Turdus merula,Eurasian Blackbird,12716,Turdidae
116552854,2022-02-22,2022-02-22 14:48:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/196752576/medium.jpeg,,51.65394561,5.05062657,Loon op Zand,Noord-Brabant,Turdus merula,Eurasian Blackbird,12716,Turdidae
116552864,2022-02-22,2022-02-22 15:24:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/196752744/medium.jpeg,,51.64827063,5.04249648,Loon op Zand,Noord-Brabant,Turdus merula,Eurasian Blackbird,12716,Turdidae
116552867,2022-02-22,2022-02-22 15:25:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/196752805/medium.jpeg,,51.64831623,5.0423594,Loon op Zand,Noord-Brabant,Turdus merula,Eurasian Blackbird,12716,Turdidae
116559186,2022-02-27,2022-02-27 15:46:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/196764178/medium.jpeg,,51.83431415,5.82207486,Nijmegen,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
116559188,2022-02-27,2022-02-27 15:54:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/196764234/medium.jpeg,,51.83562125,5.81697874,Nijmegen,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
