id,observed_on,time_observed_at,quality_grade,image_url,sound_url,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name,taxon_id,taxon_family_name
265844802,2025-03-18,2025-03-18 13:11:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/477582400/medium.jpg,,51.8975282721,4.5955253578,Nederlek,Zuid-Holland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
266061084,2024-10-25,2024-10-25 10:36:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/478001247/medium.jpeg,,53.0097511106,4.7488453803,Texel,Noord-Holland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
266398186,2025-03-22,2025-03-22 17:35:06 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/478642999/medium.jpeg,,51.9297743311,5.8011782911,Nijmegen,Gelderland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
266441517,2025-03-22,2025-03-22 17:06:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/478714736/medium.jpeg,,51.7182911047,5.934280873,Gennep,Limburg,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
266525964,2025-03-13,2025-03-13 13:26:04 +0100,research,https://static.inaturalist.org/photos/478891069/medium.jpeg,,52.6524283,4.751351,Alkmaar,Noord-Holland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
266534124,2025-03-23,2025-03-23 10:41:09 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/478907074/medium.jpeg,,51.9830394831,5.6560190767,Wageningen,Gelderland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
266538425,2025-03-23,2025-03-23 12:45:25 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/478915001/medium.jpg,,51.5806383333,5.28183,Boxtel,Noord-Brabant,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
266620722,2025-03-21,2025-03-21 12:14:00 +0100,research,https://static.inaturalist.org/photos/479051665/medium.jpeg,,51.9976625672,5.4375425474,Amerongen,Utrecht,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
266724109,2025-03-23,2025-03-23 11:34:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/479242204/medium.jpeg,,51.9907136981,5.8483179093,Nijmegen,Gelderland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
266780625,2025-03-24,2025-03-24 09:46:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/479345710/medium.jpg,,51.9112021762,4.6255207914,Krimpen aan den IJssel,Zuid-Holland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
266839016,2025-02-21,2025-02-21 13:12:00 +0100,research,https://static.inaturalist.org/photos/479450708/medium.jpeg,,52.0277023352,5.5899956973,Veenendaal,Utrecht,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
266907862,2025-03-24,2025-03-24 16:08:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/479592329/medium.jpg,,53.1386478813,6.5859088944,Tynaarlo,Drenthe,Cyanistes caeruleus caeruleus,Common Blue Tit,722264,Paridae
266927152,2025-03-25,2025-03-25 14:43:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/479626155/medium.jpeg,,51.5688834,5.0330158,Tilburg,Noord-Brabant,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
266928492,2025-03-25,2025-03-25 15:48:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/479629425/medium.jpeg,,51.563909,5.0314186,Tilburg,Noord-Brabant,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
267239959,2025-03-27,2025-03-27 18:50:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/480227215/medium.jpeg,,52.2554006304,6.2599030802,Deventer,Overijssel,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
267344030,2025-03-28,2025-03-28 14:32:30 +0100,research,https://static.inaturalist.org/photos/480430181/medium.jpg,,50.8381716667,5.7159966667,Maastricht,Limburg,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
267414979,2025-03-28,2025-03-28 16:21:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/480563942/medium.jpg,,53.0742,6.6607,Tynaarlo,Drenthe,Cyanistes caeruleus caeruleus,Common Blue Tit,722264,Paridae
267478192,2025-03-29,2025-03-29 10:25:51 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/480689591/medium.jpg,,51.4883583333,4.8567666667,Alphen-Chaam,Noord-Brabant,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
267551035,2025-03-29,2025-03-29 16:18:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/480823361/medium.jpg,,51.5874840689,5.1525300801,Tilburg,Noord-Brabant,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
267551037,2025-03-29,2025-03-29 16:22:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/480823399/medium.jpg,,51.5874887712,5.1525658464,Tilburg,Noord-Brabant,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
267557511,2025-03-22,2025-03-22 16:52:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/480833864/medium.jpeg,,52.1130238762,5.2062788715,De Bilt,Utrecht,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
267562777,2025-03-29,2025-03-29 13:33:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/480844410/medium.jpeg,,52.0112603914,5.8999144996,Arnhem,Gelderland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
267572845,2025-01-26,2025-01-26 08:49:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/480858680/medium.jpeg,,51.76635,5.9586533333,Groesbeek,Gelderland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
267617704,2025-03-29,2025-03-29 14:53:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/480952608/medium.jpg,,52.7979551391,6.4440241399,Westerveld,Drenthe,Cyanistes caeruleus caeruleus,Common Blue Tit,722264,Paridae
267668478,2025-03-29,2025-03-29 13:16:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/481054690/medium.jpeg,,52.6999920511,6.2308384062,Meppel,Drenthe,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
267933907,2025-03-31,2025-03-31 17:37:58 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/481552771/medium.jpg,,52.2751962892,6.1657474098,Deventer,Overijssel,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
268149242,2023-02-09,2023-02-09 13:58:00 +0100,research,https://static.inaturalist.org/photos/481963145/medium.jpeg,,52.0111497877,5.9138405624,Arnhem,Gelderland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
268373502,2025-04-01,2025-04-01 11:25:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/482395646/medium.jpg,,51.5874590912,5.1524771315,Tilburg,Noord-Brabant,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
268528408,2025-04-04,2025-04-04 13:29:30 +0200,research,https://static.inaturalist.org/photos/482693705/medium.jpg,,53.23332,6.5882133333,Groningen,Groningen,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
268714489,2025-04-05,2025-04-05 08:25:00 +0200,research,https://static.inaturalist.org/photos/483049719/medium.jpeg,,51.9068959458,6.0479738669,Rijnwaarden,Gelderland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
