id,observed_on,time_observed_at,quality_grade,image_url,sound_url,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name,taxon_id,taxon_family_name
333290424,2026-01-03,2026-01-03 12:06:40 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/605056398/medium.jpg,,52.139001644,4.3924886759,Wassenaar,Zuid-Holland,Parus major,Great Tit,203153,Paridae
333306370,2026-01-02,2026-01-02 14:35:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/605087569/medium.jpg,,52.7567774898,4.8954032387,Niedorp,Noord-Holland,Parus major,Great Tit,203153,Paridae
333306417,2026-01-02,2026-01-02 15:17:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/605087700/medium.jpg,,52.7481185651,4.9042451734,Niedorp,Noord-Holland,Parus major,Great Tit,203153,Paridae
333342672,2020-08-30,2020-08-30 10:18:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/605161106/medium.jpg,,50.98070692,6.025413263,Onderbanken,Nordrhein-Westfalen,Parus major,Great Tit,203153,Paridae
333577969,2025-12-19,2025-12-19 11:48:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/605637736/medium.jpg,,52.4728795742,4.8198764501,Zaanstad,Noord-Holland,Parus major,Great Tit,203153,Paridae
333583131,2026-01-05,2026-01-05 11:07:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/605648428/medium.jpg,,51.7891737811,5.9253111543,Groesbeek,Gelderland,Parus major,Great Tit,203153,Paridae
333583134,2026-01-05,2026-01-05 11:14:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/605648439/medium.jpg,,51.7900414177,5.9244210703,Groesbeek,Gelderland,Parus major,Great Tit,203153,Paridae
333731516,2025-12-19,2025-12-19 11:30:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/605882950/medium.jpg,,52.472886,4.8218542,Zaanstad,Noord-Holland,Parus major,Great Tit,203153,Paridae
333737154,2026-01-06,2026-01-06 14:03:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/605910911/medium.jpg,,52.4790079863,6.0702362059,Hattem,Gelderland,Parus major,Great Tit,203153,Paridae
333738699,2026-01-05,2026-01-05 10:24:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/605913386/medium.jpg,,53.0303186769,7.0945205011,Stadskanaal,Groningen,Parus major,Great Tit,203153,Paridae
333739886,2026-01-06,2026-01-06 15:43:06 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/605916328/medium.jpg,,52.2632223675,5.1796114817,Bussum,Noord-Holland,Parus major,Great Tit,203153,Paridae
333740576,2026-01-05,2026-01-05 11:51:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/605916909/medium.jpg,,51.8080243653,5.8785265898,Heumen,Gelderland,Parus major,Great Tit,203153,Paridae
333752040,2026-01-06,2026-01-06 14:47:00 UTC,research,https://static.inaturalist.org/photos/605939315/medium.jpg,,52.0107043,4.7540861,Gouda,Zuid-Holland,Parus major,Great Tit,203153,Paridae
333752041,2026-01-06,2026-01-06 14:49:00 UTC,research,https://static.inaturalist.org/photos/605939318/medium.jpg,,52.0107043,4.7540861,Gouda,Zuid-Holland,Parus major,Great Tit,203153,Paridae
333760900,2026-01-06,2026-01-06 13:00:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/605957335/medium.jpg,,51.7525437208,4.8299573804,Drimmelen,Noord-Brabant,Parus major,Great Tit,203153,Paridae
333849676,2026-01-07,2026-01-07 13:56:19 UTC,research,https://static.inaturalist.org/photos/606140328/medium.jpg,,52.2233507947,5.1795152575,Hilversum,Noord-Holland,Parus major,Great Tit,203153,Paridae
333850389,2026-01-07,2026-01-07 14:06:37 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/606141857/medium.jpg,,51.7296829224,5.5092668533,Bernheze,Noord-Brabant,Parus major,Great Tit,203153,Paridae
333969377,2026-01-08,2026-01-08 13:22:26 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/606384294/medium.jpg,,52.1049457025,4.3292108055,'s-Gravenhage,Zuid-Holland,Parus major,Great Tit,203153,Paridae
334001927,2026-01-03,2026-01-03 13:20:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/606448220/medium.jpg,,52.774127557,4.6684816035,Zijpe,Noord-Holland,Parus major,Great Tit,203153,Paridae
334029315,2026-01-02,2026-01-02 13:45:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/606505995/medium.jpg,,51.8221706844,5.8827301836,Nijmegen,Gelderland,Parus major,Great Tit,203153,Paridae
334119946,2026-01-04,2026-01-04 11:17:53 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/606688855/medium.jpg,,51.604742,5.08052,Tilburg,Noord-Brabant,Parus major,Great Tit,203153,Paridae
