id,observed_on,time_observed_at,quality_grade,image_url,sound_url,latitude,longitude,place_state_name,place_country_name,scientific_name,common_name,taxon_id,taxon_family_name
256993614,2016-04-21,,research,https://inaturalist-open-data.s3.amazonaws.com/photos/460916873/medium.jpeg,,52.2702770151,4.5459476486,Zuid-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
257026527,2025-01-01,2025-01-01 08:12:25 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/460983245/medium.jpeg,,52.1098739722,5.147502,Utrecht,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
257109649,2018-05-09,2018-05-09 19:20:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/461152598/medium.jpeg,,52.132633,5.291266,Utrecht,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
257122495,2024-11-16,2024-11-16 12:13:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/461178323/medium.jpg,,52.2278994848,5.767458211,Gelderland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
257133823,2025-01-02,2025-01-02 09:28:35 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/461201322/medium.jpg,,52.0607416667,5.37063,Utrecht,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
257172099,2025-01-02,2025-01-02 13:14:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/461279074/medium.jpeg,,52.1520827673,5.3022803807,Utrecht,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
257262379,2025-01-03,2025-01-03 12:28:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/461460842/medium.jpg,,51.9167,4.3101,Zuid-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
257339593,2025-01-01,2025-01-01 12:56:00 UTC,research,https://static.inaturalist.org/photos/461614245/medium.jpeg,,52.6541059667,5.0519482666,Noord-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
257460893,2025-01-05,2025-01-05 11:45:56 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/461860166/medium.jpeg,,53.0964039722,6.0702189722,Friesland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
257484365,2025-01-04,2025-01-04 08:23:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/461907725/medium.jpg,,52.457564,5.417479,Flevoland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
257498293,2024-11-26,2024-11-26 08:27:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/461978576/medium.jpeg,,52.0616323677,4.4739734712,Zuid-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
257797255,2025-01-08,2025-01-08 13:57:26 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/462515924/medium.jpg,,52.3638083333,4.856445,Noord-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
257968800,2025-01-09,2025-01-09 17:12:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/462775380/medium.jpeg,,52.0685290887,4.4881661967,Zuid-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
257973819,2025-01-02,2025-01-02 14:23:47 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/462779354/medium.jpg,,52.1907317842,4.9601556911,Utrecht,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
258138315,2025-01-11,2025-01-11 13:09:20 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/463095709/medium.jpeg,,53.3567,6.3333,Groningen,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
258280109,2025-01-12,2025-01-12 09:36:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/463356936/medium.jpg,,51.9192983886,4.5666110516,Zuid-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
258312866,2013-07-23,,research,https://inaturalist-open-data.s3.amazonaws.com/photos/463418458/medium.jpg,,52.3637357513,6.0065500132,Gelderland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
258382568,2025-01-13,2025-01-13 13:35:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/463564357/medium.jpeg,,52.0993265496,4.3492797513,Zuid-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
258466867,2025-01-10,2025-01-10 14:27:05 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/463739302/medium.jpg,,52.36082,4.8999416667,Noord-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
258647299,2025-01-16,2025-01-16 11:43:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/464110650/medium.jpg,,52.7452657607,4.9064859493,Noord-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
258664326,2024-10-04,2024-10-04 13:01:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/464144438/medium.jpg,,52.7590091449,4.8943831301,Noord-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
258817903,2025-01-17,,research,https://inaturalist-open-data.s3.amazonaws.com/photos/464459020/medium.jpeg,,51.610959,5.5516598997,Noord-Brabant,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
258834716,2025-01-18,2025-01-18 14:04:03 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/464493232/medium.jpg,,52.3585201293,4.8673222042,Noord-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
258926536,2025-01-19,2025-01-19 09:16:10 UTC,research,https://static.inaturalist.org/photos/464678149/medium.jpeg,,51.5673754997,3.5525858997,Zeeland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
258981437,2017-06-11,2017-06-11 00:12:10 UTC,research,https://static.inaturalist.org/photos/464789592/medium.jpeg,,53.2258599629,6.5582638979,Groningen,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
258981866,2017-06-11,2017-06-11 00:32:43 UTC,research,https://static.inaturalist.org/photos/464789844/medium.jpeg,,53.2232557798,6.5537725389,Groningen,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
258982099,2017-06-11,2017-06-11 00:36:53 UTC,research,https://static.inaturalist.org/photos/464792524/medium.jpeg,,53.2207686712,6.555278264,Groningen,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
258983293,2017-06-12,2017-06-11 23:03:04 UTC,research,https://static.inaturalist.org/photos/464792614/medium.jpeg,,53.2024043629,6.5432750434,Groningen,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
258985323,2017-06-19,2017-06-18 22:29:41 UTC,research,https://static.inaturalist.org/photos/464796865/medium.jpeg,,53.2029381579,6.5457825735,Groningen,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
258996317,2017-11-04,2017-11-04 21:51:14 UTC,research,https://static.inaturalist.org/photos/464817318/medium.jpeg,,53.2035486602,6.5388333052,Groningen,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
258996875,2018-04-11,2018-04-11 01:52:25 UTC,research,https://static.inaturalist.org/photos/464818839/medium.jpeg,,53.2055534161,6.5447298065,Groningen,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
259066563,2013-05-09,2013-05-09 09:30:00 UTC,research,https://static.inaturalist.org/photos/464963681/medium.jpg,,52.2694575678,4.5466066076,Zuid-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
259070381,2025-01-12,2025-01-12 10:02:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/464970989/medium.jpeg,,52.3914136192,4.8970340947,Noord-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
259073122,2025-01-20,2025-01-20 05:01:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/464976124/medium.jpeg,,51.5213536052,5.9539583044,Limburg,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
259171220,2025-01-21,2025-01-21 11:11:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/465175996/medium.jpg,,51.9193,4.5667,Zuid-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
259171535,2025-01-21,2025-01-21 14:10:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/465176721/medium.jpg,,51.9194,4.5667,Zuid-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
